interaction_id,client_id,advisor_id,interaction_type,interaction_date,subject,summary,sentiment,duration_minutes
INT00000122,CL00004,ADV002,Call,2024-12-30,Investment Opportunity Call,Informational session about market conditions and economic outlook.,Neutral,27
INT00000088,CL00004,ADV002,Call,2025-03-01,Transaction Confirmation,Client appreciated the market insights and investment recommendations provided.,Positive,24
INT00000156,CL00004,ADV002,Call,2025-03-31,Portfolio Rebalancing Discussion,Routine check-in to review account status and recent transactions.,Neutral,55
INT00000036,CL00004,ADV002,Call,2025-04-24,Follow-up Call,,Positive,7
INT00000110,CL00004,ADV002,Meeting,2025-05-05,Investment Performance Review,Standard quarterly review covering portfolio performance and allocations.,Neutral,113
INT00000106,CL00004,ADV002,Meeting,2025-05-18,Quarterly Portfolio Review,Client showed enthusiasm for new investment opportunities discussed.,Positive,118
INT00000107,CL00004,ADV002,Call,2025-09-10,Market Volatility Discussion,Client appreciated the market insights and investment recommendations provided.,Positive,55
INT00000011,CL00004,ADV002,Call,2025-09-25,Transaction Confirmation,,Neutral,27
INT00000116,CL00004,ADV002,Meeting,2025-10-07,Investment Strategy Discussion,,Positive,44
INT00000018,CL00036,ADV005,Call,2025-02-06,Follow-up Call,,Neutral,49
INT00000165,CL00036,ADV005,Meeting,2025-02-11,Estate Planning Discussion,,Positive,92
INT00000208,CL00036,ADV005,Call,2025-05-12,Transaction Confirmation,Positive feedback on service quality and communication frequency.,Positive,12
INT00000056,CL00036,ADV005,Call,2025-09-28,Account Balance Inquiry,,Neutral,31
INT00000090,CL00007,ADV007,Meeting,2025-02-22,Goal Setting Meeting,Constructive conversation about portfolio diversification strategies.,Positive,73
INT00000238,CL00007,ADV007,Meeting,2025-04-16,Tax Planning Session,Positive feedback on service quality and communication frequency.,Positive,32
INT00000176,CL00007,ADV007,Call,2025-07-21,Account Status Update,Administrative discussion regarding account documentation and compliance.,Neutral,41
INT00000114,CL00007,ADV007,Meeting,2025-10-29,Investment Performance Review,Constructive conversation about portfolio diversification strategies.,Positive,94
INT00000168,CL00007,ADV007,Meeting,2025-11-02,Investment Strategy Discussion,,Positive,82
INT00000055,CL00005,ADV001,Chat,2025-01-21,Password Reset Request,Productive discussion about long-term financial goals and retirement planning.,Positive,
INT00000220,CL00005,ADV001,Meeting,2025-01-25,Financial Planning Session,Client confident in current investment approach and advisor guidance.,Positive,94
INT00000229,CL00005,ADV001,Call,2025-02-07,Account Balance Inquiry,,Neutral,16
INT00000160,CL00005,ADV001,Email,2025-03-13,Portfolio Performance Update,,Positive,
INT00000049,CL00005,ADV001,Call,2025-03-29,Account Balance Inquiry,,Positive,56
INT00000237,CL00005,ADV001,Chat,2025-05-21,Quick Question,,Positive,
INT00000134,CL00005,ADV001,Email,2025-06-13,Compliance Update,Positive feedback on service quality and communication frequency.,Positive,
INT00000030,CL00005,ADV001,Meeting,2025-08-26,Investment Strategy Discussion,Standard review of investment policy statement and objectives.,Neutral,78
INT00000041,CL00026,ADV005,Meeting,2024-12-16,Risk Assessment Review,Productive discussion about long-term financial goals and retirement planning.,Positive,82
INT00000105,CL00026,ADV005,Call,2025-05-13,Market Volatility Discussion,,Neutral,38
INT00000008,CL00026,ADV005,Email,2025-11-29,Document Request,,Negative,
INT00000059,CL00008,ADV004,Meeting,2024-12-30,Investment Performance Review,,Positive,94
INT00000166,CL00008,ADV004,Meeting,2025-01-24,Market Update Discussion,Standard review of investment policy statement and objectives.,Neutral,104
INT00000196,CL00008,ADV004,Meeting,2025-01-27,Financial Planning Session,Constructive conversation about portfolio diversification strategies.,Positive,111
INT00000040,CL00008,ADV004,Call,2025-04-13,Portfolio Rebalancing Discussion,Positive feedback on service quality and communication frequency.,Positive,18
INT00000140,CL00008,ADV004,Call,2025-04-14,Account Status Update,Client expressed concerns about recent portfolio performance and volatility.,Negative,25
INT00000209,CL00008,ADV004,Email,2025-06-12,Compliance Update,Constructive conversation about portfolio diversification strategies.,Positive,
INT00000044,CL00008,ADV004,Call,2025-07-24,Portfolio Rebalancing Discussion,Productive discussion about long-term financial goals and retirement planning.,Positive,59
INT00000215,CL00008,ADV004,Email,2025-11-26,Market Commentary,Successful review of investment objectives and risk tolerance alignment.,Positive,
INT00000004,CL00008,ADV004,Meeting,2025-12-03,Estate Planning Discussion,Client showed enthusiasm for new investment opportunities discussed.,Positive,63
INT00000129,CL00001,ADV001,Call,2025-01-19,Market Update Call,Standard quarterly review covering portfolio performance and allocations.,Neutral,41
INT00000042,CL00001,ADV001,Meeting,2025-02-02,Market Update Discussion,Client expressed satisfaction with portfolio performance and investment strategy.,Positive,104
INT00000189,CL00001,ADV001,Email,2025-03-14,Account Update Notification,,Neutral,
INT00000077,CL00001,ADV001,Call,2025-04-06,Investment Opportunity Call,,Positive,33
INT00000203,CL00001,ADV001,Call,2025-05-01,Account Status Update,,Positive,10
INT00000170,CL00013,ADV004,Meeting,2025-01-06,Investment Strategy Discussion,Successful review of investment objectives and risk tolerance alignment.,Positive,100
INT00000178,CL00013,ADV004,Meeting,2025-03-19,Estate Planning Discussion,Constructive conversation about portfolio diversification strategies.,Positive,70
INT00000210,CL00013,ADV004,Meeting,2025-06-20,Investment Strategy Discussion,,Positive,88
INT00000093,CL00013,ADV004,Call,2025-08-07,Transaction Confirmation,,Positive,8
INT00000072,CL00013,ADV004,Call,2025-09-21,Portfolio Rebalancing Discussion,Standard review of investment policy statement and objectives.,Neutral,43
INT00000052,CL00013,ADV004,Email,2025-10-06,Monthly Statement Review,,Positive,
INT00000141,CL00013,ADV004,Meeting,2025-10-17,Retirement Planning Meeting,Standard review of investment policy statement and objectives.,Neutral,115
INT00000092,CL00013,ADV004,Chat,2025-10-21,Technical Support,Client expressed satisfaction with portfolio performance and investment strategy.,Positive,
INT00000198,CL00013,ADV004,Email,2025-11-10,Monthly Statement Review,,Positive,
INT00000086,CL00031,ADV001,Email,2024-12-21,Investment Recommendation,Successful review of investment objectives and risk tolerance alignment.,Positive,
INT00000194,CL00031,ADV001,Email,2025-03-18,Tax Document Delivery,Productive discussion about long-term financial goals and retirement planning.,Positive,
INT00000148,CL00031,ADV001,Email,2025-04-15,Market Commentary,Client appreciated the market insights and investment recommendations provided.,Positive,
INT00000021,CL00031,ADV001,Call,2025-05-08,Market Update Call,Constructive conversation about portfolio diversification strategies.,Positive,55
INT00000207,CL00031,ADV001,Call,2025-05-15,Follow-up Call,Constructive conversation about portfolio diversification strategies.,Positive,58
INT00000161,CL00031,ADV001,Call,2025-06-09,Quick Check-in Call,Positive feedback on service quality and communication frequency.,Positive,54
INT00000091,CL00031,ADV001,Meeting,2025-08-31,Risk Assessment Review,Client confident in current investment approach and advisor guidance.,Positive,56
INT00000047,CL00032,ADV005,Call,2025-09-05,Investment Question,Standard quarterly review covering portfolio performance and allocations.,Neutral,51
INT00000154,CL00032,ADV005,Call,2025-12-09,Transaction Confirmation,Client showed enthusiasm for new investment opportunities discussed.,Positive,41
INT00000228,CL00035,ADV002,Call,2024-12-22,Transaction Confirmation,,Positive,35
