security_id,ticker,security_name,security_type,asset_class,sector,current_price,price_date
SEC00002,AAPL,AAPL Inc.,Stock,Equity,Technology,278.38,2025-12-08
SEC00052,ABBV,ABBV Inc.,Stock,Equity,Utilities,140.97,2025-12-13
SEC00139,ABT,ABT Inc.,Stock,Equity,Healthcare,319.05,2025-12-14
SEC00115,ACN,ACN Inc.,Stock,Equity,Energy,43.34,2025-12-08
SEC00110,ADBE,ADBE Inc.,Stock,Equity,Consumer Discretionary,386.19,2025-12-10
SEC00086,AGG,AGG ETF,ETF,Alternative,,160.06,2025-12-14
SEC00037,AMT,AMT Inc.,Stock,Equity,Aerospace & Defense,495.94,2025-12-09
SEC00047,AMZN,AMZN Inc.,Stock,Equity,Communication Services,374.63,2025-12-09
SEC00136,AUKKP,AUKKP Exchange Traded Fund,ETF,Equity,Materials,340.23,2025-12-13
SEC00081,AVGO,AVGO Inc.,Stock,Equity,Financial Services,194.78,2025-12-14
SEC00124,AXP,AXP Inc.,Stock,Equity,Industrials,25.29,2025-12-12
SEC00005,BKNG,BKNG Inc.,Stock,Equity,Utilities,434.73,2025-12-13
SEC00100,BND,BND ETF,ETF,Equity,Aerospace & Defense,338.10,2025-12-11
SEC00159,BUC,BUC Exchange Traded Fund,ETF,Fixed Income,,207.03,2025-12-11
SEC00019,CAT,CAT Inc.,Stock,Equity,Real Estate,364.18,2025-12-14
SEC00108,CB,CB Inc.,Stock,Equity,Consumer Discretionary,464.95,2025-12-09
SEC00040,CRM,CRM Inc.,Stock,Equity,Healthcare,345.76,2025-12-13
SEC00017,CSX,CSX Inc.,Stock,Equity,Consumer Discretionary,97.10,2025-12-10
SEC00169,CVX,CVX Inc.,Stock,Equity,Real Estate,211.14,2025-12-11
SEC00051,DIS,DIS Inc.,Stock,Equity,Utilities,95.10,2025-12-10
SEC00119,DUK,DUK Inc.,Stock,Equity,Materials,373.70,2025-12-11
SEC00161,DWPXQ,DWPXQ Exchange Traded Fund,ETF,Alternative,,295.15,2025-12-09
SEC00073,EEM,EEM ETF,ETF,Equity,Real Estate,161.71,2025-12-14
SEC00032,EFA,EFA ETF,ETF,Alternative,,88.90,2025-12-09
SEC00114,EYPEZ,EYPEZ Exchange Traded Fund,ETF,Alternative,,48.10,2025-12-11
SEC00054,FENY,FENY Fund,Mutual Fund,Fixed Income,,165.23,2025-12-14
SEC00009,FHLC,FHLC Fund,Mutual Fund,Fixed Income,,94.49,2025-12-10
SEC00029,FLOT,FLOT Bond Fund,Bond,Fixed Income,,54.40,2025-12-11
SEC00103,FREL,FREL Fund,Mutual Fund,Fixed Income,,135.10,2025-12-10
SEC00013,FXNAX,FXNAX Fund,Mutual Fund,Fixed Income,,175.84,2025-12-08
SEC00156,GDO,GDO Exchange Traded Fund,ETF,Equity,Materials,112.27,2025-12-08
SEC00097,GILD,GILD Inc.,Stock,Equity,Communication Services,318.72,2025-12-14
SEC00129,GJKWX,GJKWX Exchange Traded Fund,ETF,Equity,Communication Services,24.76,2025-12-11
SEC00008,GLD,GLD ETF,ETF,Equity,Financial Services,106.25,2025-12-08
SEC00127,GLK,GLK Exchange Traded Fund,ETF,Alternative,,149.39,2025-12-08
SEC00120,GOOGL,GOOGL Inc.,Stock,Equity,Energy,332.06,2025-12-09
SEC00039,GOVT,GOVT Bond Fund,Bond,Fixed Income,,77.66,2025-12-14
SEC00048,GS,GS Inc.,Stock,Equity,Consumer Staples,350.85,2025-12-14
SEC00154,GXZC,GXZC Exchange Traded Fund,ETF,Fixed Income,,221.55,2025-12-14
SEC00112,HD,HD Inc.,Stock,Equity,Healthcare,466.32,2025-12-12
SEC00130,HJGYH,HJGYH Exchange Traded Fund,ETF,Alternative,,194.19,2025-12-13
SEC00010,HYG,HYG ETF,ETF,Fixed Income,,160.24,2025-12-10
SEC00042,IEF,IEF ETF,ETF,Alternative,,87.46,2025-12-08
SEC00076,IGIB,IGIB Bond Fund,Bond,Fixed Income,,112.24,2025-12-13
SEC00132,IGLB,IGLB Bond Fund,Bond,Fixed Income,,15.67,2025-12-11
SEC00011,IGSB,IGSB Bond Fund,Bond,Fixed Income,,48.12,2025-12-13
