transaction_id,account_id,security_id,transaction_type,transaction_date,settlement_date,quantity,price,amount,status
TXN00001746,AC000061,SEC00125,Sell,2024-01-09,2024-01-11,224.00,178.02,-40041.47,Settled
TXN00002008,AC000033,,Fee,2024-02-09,2024-02-13,,,-10701.22,Settled
TXN00000223,AC000033,SEC00081,Sell,2024-03-11,2024-03-13,172.00,203.14,-35026.90,Settled
TXN00002352,AC000061,SEC00082,Dividend,2024-04-01,2024-04-03,,,1723.25,Settled
TXN00002058,AC000033,SEC00036,Buy,2024-04-02,2024-04-04,39.00,266.73,10491.75,Settled
TXN00002328,AC000033,SEC00082,Buy,2024-04-12,2024-04-16,606.00,23.49,14348.81,Settled
TXN00002814,AC000061,SEC00052,Buy,2024-04-26,2024-04-30,193.00,145.05,28236.34,Settled
TXN00001479,AC000061,SEC00148,Sell,2024-05-07,2024-05-09,1083.00,27.79,-30132.16,Settled
TXN00000119,AC000061,SEC00123,Sell,2024-05-17,2024-05-21,1877.00,94.67,-178854.00,Settled
TXN00001744,AC000033,SEC00126,Dividend,2024-07-02,2024-07-04,,,178.66,Settled
TXN00000005,AC000033,SEC00069,Dividend,2024-07-11,2024-07-15,,,1643.77,Settled
TXN00002109,AC000033,SEC00087,Buy,2024-07-12,2024-07-16,1605.00,30.40,49149.33,Settled
TXN00001051,AC000033,,Fee,2024-07-15,2024-07-17,,,-46.27,Settled
TXN00000597,AC000033,SEC00106,Dividend,2024-07-23,2024-07-25,,,1261.46,Settled
TXN00001726,AC000061,,Fee,2024-08-05,2024-08-07,,,-1814.96,Settled
TXN00000216,AC000061,SEC00116,Buy,2024-09-10,2024-09-12,243.00,135.20,33176.34,Settled
TXN00000735,AC000033,SEC00013,Dividend,2024-10-15,2024-10-17,,,583.61,Settled
TXN00001957,AC000033,SEC00157,Buy,2024-11-05,2024-11-07,1152.00,82.38,95784.10,Settled
TXN00000824,AC000033,SEC00045,Sell,2024-11-06,2024-11-08,156.00,110.09,-17288.07,Settled
TXN00000971,AC000033,SEC00065,Dividend,2024-11-25,2024-11-27,,,1744.16,Settled
TXN00000128,AC000061,SEC00156,Dividend,2024-11-26,2024-11-28,,,1997.05,Settled
TXN00000030,AC000033,SEC00020,Dividend,2024-12-18,2024-12-20,,,381.89,Settled
TXN00000795,AC000061,,Interest,2025-01-27,2025-01-29,,,1208.15,Settled
TXN00001111,AC000033,SEC00144,Dividend,2025-01-30,2025-02-03,,,1110.54,Settled
TXN00001781,AC000033,SEC00069,Buy,2025-01-31,2025-02-04,267.00,133.69,36019.00,Settled
TXN00002574,AC000033,SEC00016,Buy,2025-02-07,2025-02-11,35.00,218.96,7675.99,Settled
TXN00002755,AC000033,SEC00072,Dividend,2025-02-21,2025-02-25,,,1894.86,Settled
TXN00001350,AC000033,SEC00029,Buy,2025-02-24,2025-02-26,473.00,56.36,26824.99,Settled
TXN00001803,AC000061,SEC00046,Dividend,2025-03-08,2025-03-11,,,254.72,Settled
TXN00002379,AC000061,,Interest,2025-03-10,2025-03-12,,,1133.60,Settled
TXN00002083,AC000061,SEC00122,Dividend,2025-03-17,2025-03-19,,,122.59,Settled
TXN00000729,AC000033,SEC00104,Buy,2025-03-24,2025-03-26,67.00,267.57,18087.24,Settled
TXN00001728,AC000061,SEC00031,Buy,2025-03-24,2025-03-26,328.00,53.32,17518.69,Settled
TXN00001863,AC000033,,Interest,2025-03-31,2025-04-02,,,4974.82,Settled
TXN00002572,AC000061,SEC00042,Buy,2025-05-19,2025-05-21,283.00,84.38,23987.02,Settled
