document_id,client_id,account_id,document_type,document_name,upload_date,file_size_kb,storage_location
DOC00000005,CL00004,AC000063,Statement,Year-End Statement,2024-03-19,731,
DOC00000126,CL00004,AC000056,Statement,Annual Summary Statement,2024-04-25,602,
DOC00000027,CL00004,AC000048,Statement,Quarterly Portfolio Statement,2024-08-29,270,/documents/contracts/quarterly_portfolio_statement_20240829.pdf
DOC00000018,CL00004,AC000017,Report,Benchmark Comparison Report,2024-09-11,1122,
DOC00000151,CL00004,,Statement,Performance Statement,2024-12-20,860,/documents/disclosures/performance_statement_20241220.pdf
DOC00000024,CL00004,AC000029,Disclosure,Proxy Voting Disclosure,2025-03-22,1452,/documents/reports/2025/proxy_voting_disclosure_20250322.pdf
DOC00000021,CL00004,AC000016,Statement,Holdings Statement,2025-04-27,734,/documents/statements/2025/04/holdings_statement_20250427.pdf
DOC00000002,CL00004,AC000093,Statement,Quarterly Portfolio Statement,2025-07-15,813,/archive/2025/statement/quarterly_portfolio_statement_20250715.pdf
DOC00000108,CL00036,AC000008,Statement,Quarterly Portfolio Statement,2023-12-16,301,/documents/disclosures/quarterly_portfolio_statement_20231216.pdf
DOC00000142,CL00036,,Report,Asset Allocation Report,2025-02-14,1342,/documents/reports/2025/asset_allocation_report_20250214.pdf
DOC00000034,CL00036,AC000044,Report,Asset Allocation Report,2025-04-16,864,
DOC00000047,CL00036,AC000053,Disclosure,Conflict of Interest Disclosure,2025-12-11,337,
DOC00000022,CL00008,,Report,Goal Progress Report,2024-06-13,996,/documents/disclosures/goal_progress_report_20240613.pdf
DOC00000082,CL00008,AC000007,Statement,Transaction Statement,2024-07-30,514,/documents/statements/2024/07/transaction_statement_20240730.pdf
DOC00000063,CL00008,AC000056,Report,Investment Analysis Report,2025-06-04,1190,/documents/tax/2025/investment_analysis_report_20250604.pdf
DOC00000139,CL00007,AC000009,Report,Portfolio Performance Report,2024-02-06,1794,
DOC00000014,CL00007,AC000095,Statement,Fee Statement,2024-02-24,494,/secure/client_docs/CL00007/fee_statement_20240224.pdf
DOC00000050,CL00007,AC000036,Statement,Transaction Statement,2024-09-13,694,
DOC00000076,CL00007,AC000014,Statement,Performance Statement,2024-10-21,723,/documents/reports/2024/performance_statement_20241021.pdf
DOC00000062,CL00026,,Report,Market Commentary Report,2024-03-10,580,/documents/contracts/market_commentary_report_20240310.pdf
DOC00000098,CL00026,,Statement,Fee Statement,2024-05-23,249,/archive/2024/statement/fee_statement_20240523.pdf
DOC00000045,CL00026,,Contract,Trust Agreement,2024-05-29,525,
DOC00000101,CL00026,AC000012,Report,Goal Progress Report,2024-10-02,1039,
DOC00000010,CL00005,AC000011,Report,Goal Progress Report,2024-03-30,1327,/documents/tax/2024/goal_progress_report_20240330.pdf
DOC00000046,CL00005,,Disclosure,Privacy Policy Notice,2024-05-05,377,/client_files/CL00005/statements/privacy_policy_notice_20240505.pdf
DOC00000041,CL00005,AC000059,Disclosure,Privacy Policy Notice,2025-04-18,1020,/documents/contracts/privacy_policy_notice_20250418.pdf
DOC00000006,CL00005,AC000091,Tax Form,1099-INT Interest Statement,2025-07-05,404,/documents/tax/2025/1099-int_interest_statement_20250705.pdf
DOC00000124,CL00005,AC000074,Report,Market Commentary Report,2025-07-28,995,/documents/contracts/market_commentary_report_20250728.pdf
DOC00000123,CL00001,AC000054,Report,Market Commentary Report,2023-12-24,789,/compliance/disclosures/market_commentary_report_20231224.pdf
DOC00000028,CL00001,,Contract,Trust Agreement,2024-07-22,445,
DOC00000061,CL00001,AC000041,Disclosure,Fee Schedule Disclosure,2024-08-13,479,/client_files/CL00001/statements/fee_schedule_disclosure_20240813.pdf
DOC00000120,CL00001,AC000018,Report,Asset Allocation Report,2025-04-20,1924,/documents/disclosures/asset_allocation_report_20250420.pdf
DOC00000095,CL00001,,Statement,Holdings Statement,2025-10-29,593,/client_files/CL00001/statements/holdings_statement_20251029.pdf
DOC00000137,CL00001,AC000086,Tax Form,IRA Distribution Form,2025-11-14,212,/tax_documents/2025/ira_distribution_form_20251114.pdf
DOC00000121,CL00001,,Statement,Fee Statement,2025-11-17,376,/documents/reports/2025/fee_statement_20251117.pdf
DOC00000148,CL00017,AC000018,Statement,Holdings Statement,2024-01-19,750,
DOC00000138,CL00017,,Contract,Wire Transfer Agreement,2024-07-17,199,/compliance/disclosures/wire_transfer_agreement_20240717.pdf
DOC00000096,CL00017,AC000079,Disclosure,Investment Advisory Agreement,2025-06-02,1176,/documents/tax/2025/investment_advisory_agreement_20250602.pdf
DOC00000153,CL00017,AC000004,Report,Asset Allocation Report,2025-09-25,1276,/documents/reports/2025/asset_allocation_report_20250925.pdf
DOC00000008,CL00031,AC000026,Statement,Year-End Statement,2024-03-13,668,/documents/statements/2024/03/year-end_statement_20240313.pdf
DOC00000080,CL00032,,Disclosure,Conflict of Interest Disclosure,2024-05-23,752,/compliance/disclosures/conflict_of_interest_disclosure_20240523.pdf
DOC00000079,CL00031,,Statement,Monthly Account Statement,2024-07-21,257,
DOC00000150,CL00032,AC000094,Tax Form,1099-MISC Miscellaneous Income,2024-09-11,249,/documents/disclosures/1099-misc_miscellaneous_income_20240911.pdf
DOC00000011,CL00032,AC000038,Statement,Holdings Statement,2024-10-13,691,
