product_id,product_name,product_type,description,status,created_date
PROD-001,Tax-Efficient Municipal Bond Fund,Mutual Fund,Investment-grade municipal bonds providing tax-exempt income for high-bracket investors.,Active,2026-02-20
PROD-002,Diversified Income Strategy,Managed Portfolio,Multi-asset income portfolio targeting 4-5% annual yield with capital preservation focus.,Active,2026-02-20
PROD-003,ESG Growth Fund,ETF,"Equity fund investing in companies meeting environmental, social, and governance criteria.",Active,2026-02-20
PROD-004,Healthcare Sector Fund,ETF,Concentrated exposure to healthcare and biotech sectors.,Active,2026-02-20
PROD-005,Charitable Remainder Trust Services,Trust Service,"Trust structure providing income stream with remainder to charity, offering tax benefits.",Active,2026-02-20
PROD-006,Private Real Estate Fund,Alternative,Diversified commercial real estate portfolio for qualified investors seeking income and appreciation.,Active,2026-02-20
PROD-001,Tax-Efficient Municipal Bond Fund,Mutual Fund,Investment-grade municipal bonds providing tax-exempt income for high-bracket investors.,Active,2026-02-20
PROD-002,Diversified Income Strategy,Managed Portfolio,Multi-asset income portfolio targeting 4-5% annual yield with capital preservation focus.,Active,2026-02-20
PROD-003,ESG Growth Fund,ETF,"Equity fund investing in companies meeting environmental, social, and governance criteria.",Active,2026-02-20
PROD-004,Healthcare Sector Fund,ETF,Concentrated exposure to healthcare and biotech sectors.,Active,2026-02-20
PROD-005,Charitable Remainder Trust Services,Trust Service,"Trust structure providing income stream with remainder to charity, offering tax benefits.",Active,2026-02-20
PROD-006,Private Real Estate Fund,Alternative,Diversified commercial real estate portfolio for qualified investors seeking income and appreciation.,Active,2026-02-20
PROD-001,Tax-Efficient Municipal Bond Fund,Mutual Fund,Investment-grade municipal bonds providing tax-exempt income for high-bracket investors.,Active,2026-02-20
PROD-002,Diversified Income Strategy,Managed Portfolio,Multi-asset income portfolio targeting 4-5% annual yield with capital preservation focus.,Active,2026-02-20
PROD-003,ESG Growth Fund,ETF,"Equity fund investing in companies meeting environmental, social, and governance criteria.",Active,2026-02-20
PROD-004,Healthcare Sector Fund,ETF,Concentrated exposure to healthcare and biotech sectors.,Active,2026-02-20
PROD-005,Charitable Remainder Trust Services,Trust Service,"Trust structure providing income stream with remainder to charity, offering tax benefits.",Active,2026-02-20
PROD-006,Private Real Estate Fund,Alternative,Diversified commercial real estate portfolio for qualified investors seeking income and appreciation.,Active,2026-02-20
